family_name,given_name,name,pa_url,summary,telephone_number,email,popit_id,source_url
Nkosi,Fikile Elizabeth,Fikile Elizabeth Nkosi,http://www.pa.org.za/person/fikile-elizabeth-nkosi/,,,,za.org.pa.www/core_person/9246,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9246
Khumalo,Fikile Eunice,Fikile Eunice Khumalo,http://www.pa.org.za/person/fikile-eunice-khumalo/,"Fikile Eunice Khumalo's plenary attendance record for Feb-Apr [2013](/file_archive/fikile-eunice-khumalo-attendance-2013 ""fikile eunice khumalo attendance"") and [2012](/file_archive/fikile-eunice-khumalo-attendance-2012 ""fikile eunice khumalo attendance"").",,fkhumalo@parliament.gov.za,za.org.pa.www/core_person/677,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/677
Makopo,Fikile,Fikile Makopo,http://www.pa.org.za/person/fikile-makopo/,,,,za.org.pa.www/core_person/8089,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8089
Mhlongo,Fikile Nomvula,Fikile Nomvula Mhlongo,http://www.pa.org.za/person/fikile-nomvula-mhlongo/,,,,za.org.pa.www/core_person/7086,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7086
Xasa,Fikile Devilliers,Fikile Devilliers Xasa,http://www.pa.org.za/person/fikile-xasa/,,,lsigwili@ecleg.gov.za,za.org.pa.www/core_person/1386,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1386
Majola,Fikile Zachariah,Fikile Zachariah Majola,http://www.pa.org.za/person/fikile-zachariah-majola/,,,,za.org.pa.www/core_person/4189,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4189
Mpumpula,Fikiswa Flossie,Fikiswa Flossie Mpumpula,http://www.pa.org.za/person/fikiswa-flossie-mpumpula/,,,,za.org.pa.www/core_person/4166,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4166
Myeza,Fisokuhle Brutus,Fisokuhle Brutus Myeza,http://www.pa.org.za/person/fisokuhle-brutus-myeza/,,,,za.org.pa.www/core_person/4933,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4933
Daniels,Florence,Florence Daniels,http://www.pa.org.za/person/florence-daniels/,,,,za.org.pa.www/core_person/6730,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6730
Magubane,Florence Jabulani,Florence Jabulani Magubane,http://www.pa.org.za/person/florence-jabulani-magubane/,,,,za.org.pa.www/core_person/8252,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8252
Ndlovu,Florence,Florence Ndlovu,http://www.pa.org.za/person/florence-ndlovu/,,,,za.org.pa.www/core_person/5086,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5086
Sonday,Florence Nellie,Florence Nellie Sonday,http://www.pa.org.za/person/florence-nellie-sonday/,,,,za.org.pa.www/core_person/8768,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8768
Mushwana,Foni Florence,Foni Florence Mushwana,http://www.pa.org.za/person/foni-florence-mushwana/,"Foni Florence Mushwana's plenary attendance record for Feb-Apr [2013](/file_archive/Foni-Florence-Mushwana-Attendance-2013 ""Foni Florence Mushwana Attendance"") and [2012](/file_archive/Foni-Florence-Mushwana-2012 ""Foni Florence Mushwana Attendance"").",,fmushwana@parliament.gov.za,za.org.pa.www/core_person/835,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/835
Bhengu,Fortune Kwazi Kwakhe,Fortune Kwazi Kwakhe Bhengu,http://www.pa.org.za/person/fortune-kwazi-kwakhe-bhengu/,,,,za.org.pa.www/core_person/4473,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4473
Makgala,France,France Makgala,http://www.pa.org.za/person/france-makgala/,,,,za.org.pa.www/core_person/4692,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4692
Mokwena,Francina Anna,Francina Anna Mokwena,http://www.pa.org.za/person/francina-anna-mokwena/,,,,za.org.pa.www/core_person/8029,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8029
Machaba,Francinah,Francinah Machaba,http://www.pa.org.za/person/francinah-machaba/,,,,za.org.pa.www/core_person/9239,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9239
Makopo,Francina Ouma,Francina Ouma Makopo,http://www.pa.org.za/person/francina-ouma-makopo/,,,,za.org.pa.www/core_person/8552,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8552
Swanepoel,Francios,Francios Swanepoel,http://www.pa.org.za/person/francios-swanepoel/,,,,za.org.pa.www/core_person/4067,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4067
Robbetze,Francis Johannes,Francis Johannes Robbetze,http://www.pa.org.za/person/francis-johannes-robbetze/,,,,za.org.pa.www/core_person/9276,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9276
Moyo,Francis Reuben,Francis Reuben Moyo,http://www.pa.org.za/person/francis-reuben-moyo/,,,,za.org.pa.www/core_person/5166,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5166
De Lange,Franco Carel,Franco Carel De Lange,http://www.pa.org.za/person/franco-carel-de-lange/,,,,za.org.pa.www/core_person/9273,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9273
Rodgers,Francois Adrianus,Francoise Adrianus Rodgers,http://www.pa.org.za/person/francois-adrianus-rodgers/,"Francois Adrianus Rodgers's plenary attendance record for [2013](/file_archive/Francois-Adrianus-Rodgers-Attendance-2013 ""Francois Adrianus Rodgers"").",(021) 403 2911,francois@dasisonke.co.za,za.org.pa.www/core_person/908,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/908
Beukman,Francois,Francois Beukman,http://www.pa.org.za/person/francois-beukman/,,,,za.org.pa.www/core_person/4340,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4340
Botha,Francois Jacobus,Francois Jacobus Botha,http://www.pa.org.za/person/francois-jacobus-botha/,,,,za.org.pa.www/core_person/9328,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9328
Kruger,Francois,Francois Kruger,http://www.pa.org.za/person/francois-kruger/,,,,za.org.pa.www/core_person/9329,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9329
Botes,Francois Rossouw,Francois Rossouw Botes,http://www.pa.org.za/person/francois-rossouw-botes/,,,,za.org.pa.www/core_person/6450,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6450
Cloete,Francois Willie,Francois Willie Cloete,http://www.pa.org.za/person/francois-willie-cloete/,,,,za.org.pa.www/core_person/7250,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7250
Martin,Frank Jonathan,Frank Jonathan Martin,http://www.pa.org.za/person/frank-jonathan-martin/,,,,za.org.pa.www/core_person/7217,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7217
Bowker,Franklin,Franklin Bowker,http://www.pa.org.za/person/franklin-bowker/,,,,za.org.pa.www/core_person/6912,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6912
Van Wyk,Frans Christof,Frans Christof Van Wyk,http://www.pa.org.za/person/frans-christof-van-wyk/,,,,za.org.pa.www/core_person/7216,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7216
Claassen,Frans,Frans Claassen,http://www.pa.org.za/person/frans-claassen/,,,,za.org.pa.www/core_person/7312,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7312
Phillips,Fransi,Fransi Phillips,http://www.pa.org.za/person/fransi-phillips/,,,,za.org.pa.www/core_person/7248,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7248
Joseph,Frans,Frans Joseph,http://www.pa.org.za/person/frans-joseph/,,,,za.org.pa.www/core_person/8470,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8470
Ngoetjana,Frans Phuti,Frans Phuti Ngoetjana,http://www.pa.org.za/person/frans-phuti-ngoetjana/,,,,za.org.pa.www/core_person/8237,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8237
Maserumule,Frans Tlokwe,Frans Tlokwe Maserumule,http://www.pa.org.za/person/frans-tlokwe-maserumule/,"Frans Tlokwe Maserumule's plenary attendance record for Feb-Apr [2013](/file_archive/Frans-Tlokwe-Maserumule-Attendance-2013 ""Frans Tlokwe Maserumule Attendance"") and [2012](/file_archive/Frans-Tlokwe-Maserumule-Attendance-2012 ""Frans Tlokwe Maserumule Attendance"").",(021) 403 2911,,za.org.pa.www/core_person/748,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/748
Du Plessis,Franz Alexander,Franz Alexander Du Plessis,http://www.pa.org.za/person/franz-alexander-du-plessis/,,,,za.org.pa.www/core_person/6442,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6442
Wyngaard,Fred Amos,Fred Amos Wyngaard,http://www.pa.org.za/person/fred-amos-wyngaard/,,,,za.org.pa.www/core_person/6173,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6173
Adams,Freddie,Freddie Adams,http://www.pa.org.za/person/freddie-adams/,"Mr Adams has been an MP since 2002 and has served on the Select Committee on Economic Development, Select Committee on Trade and International Relations, and the Select Committee on Petitions and Members Legislative Proposals. ",(021) 403 3001/083 709 8385,fadams@parliament.gov.za,za.org.pa.www/core_person/1019,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1019
Heugh,Freddie,Freddie Heugh,http://www.pa.org.za/person/freddie-heugh/,,,,za.org.pa.www/core_person/9050,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9050
Mbhandze,Freddy,Freddy Mbhandze,http://www.pa.org.za/person/freddy-mbhandze/,,,,za.org.pa.www/core_person/4790,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4790
Pohl,Frederick Carel,Frederick Carel Pohl,http://www.pa.org.za/person/frederick-carel-pohl/,,,,za.org.pa.www/core_person/6543,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6543
Isaacs,Frederick Christoffel,Frederick Christoffel Isaacs,http://www.pa.org.za/person/frederick-christoffel-isaacs/,,,,za.org.pa.www/core_person/7351,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7351
Fisher,Frederick Clint Stanley,Frederick Clint Stanley Fisher,http://www.pa.org.za/person/frederick-clint-stanley-fisher/,,,,za.org.pa.www/core_person/7340,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7340
Rousseau,Frederick Jacobus Celliers,Frederick Jacobus Celliers Rousseau,http://www.pa.org.za/person/frederick-jacobus-celliers-rousseau/,,,,za.org.pa.www/core_person/9390,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9390
Grobler,Frederick Jacobus,Frederick Jacobus Grobler,http://www.pa.org.za/person/frederick-jacobus-grobler/,,,,za.org.pa.www/core_person/3974,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3974
Lotz,Frederick Johannes,Frederick Johannes Lotz,http://www.pa.org.za/person/frederick-johannes-lotz/,,,,za.org.pa.www/core_person/9416,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9416
Pier,Frederick,Frederick Pier,http://www.pa.org.za/person/frederick-pier/,,,,za.org.pa.www/core_person/7347,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7347
Dau,Frederick Thinamaano,Frederick Thinamaano Dau,http://www.pa.org.za/person/frederick-thinamaano-dau/,,,,za.org.pa.www/core_person/4511,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4511
Eyre,Frederika Maria Welemina,Frederika Maria Welemina Eyre,http://www.pa.org.za/person/frederika-maria-welemina-eyre/,,,,za.org.pa.www/core_person/9321,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9321
Van Heerden,Frederik Jacobus,Frederik Jacobus Van Heerden,http://www.pa.org.za/person/frederik-jacobus-van-heerden/,,,,za.org.pa.www/core_person/9405,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9405
Mulder,Frederik Jacobus,Frederik Jacobus Mulder,http://www.pa.org.za/person/frederik-mulder/,,,fmulder@gpl.gov.za,za.org.pa.www/core_person/1388,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1388
Nel,Frederik Petrus,Frederik Petrus Nel,http://www.pa.org.za/person/frederik-petrus-nel/,,,,za.org.pa.www/core_person/6469,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6469
,,Fred Nel,http://www.pa.org.za/person/fred-nel/,,011- 498 5610,fnel@gpl.gov.za,za.org.pa.www/core_person/1387,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1387
Nojawolo,Freeman Zimisele,Freeman Zimisele Nojawolo,http://www.pa.org.za/person/freeman-zimisele-nojawolo/,,,,za.org.pa.www/core_person/4121,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4121
De Klerk,Frits,Frits De Klerk,http://www.pa.org.za/person/frits-de-klerk/,,,,za.org.pa.www/core_person/6522,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6522
Prins,Fritz,Fritz Prins,http://www.pa.org.za/person/fritz-prins/,,,,za.org.pa.www/core_person/4989,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4989
Masango,F T,F T Masango,http://www.pa.org.za/person/f-t-masango/,,,,za.org.pa.www/core_person/747,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/747
Makatong,Fufe Bohutsana Providence,Fufe Bohutsana Providence Makatong,http://www.pa.org.za/person/fufe-bohutsana-providence-makatong/,,,,za.org.pa.www/core_person/4579,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4579
Radzilani,Fulufhelo Florence,Fulufhelo Florence Radzilani,http://www.pa.org.za/person/fulufhelo-florence-radzilani/,,,,za.org.pa.www/core_person/4517,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4517
Gade,Fundile David,Fundile David Gade,http://www.pa.org.za/person/fundile-david-gade/,,,,za.org.pa.www/core_person/4356,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4356
Ndyebo,Fundiswa,Fundiswa Ndyebo,http://www.pa.org.za/person/fundiswa-ndyebo/,,,,za.org.pa.www/core_person/4107,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4107
Sizani,Fundiswa,Fundiswa Sizani,http://www.pa.org.za/person/fundiswa-sizani/,,,,za.org.pa.www/core_person/5035,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5035
,,Fundiswa Xundu,http://www.pa.org.za/person/fundiswa-xundu/,,072 8902131,,za.org.pa.www/core_person/3602,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3602
Mbuyazwe,Funeka Muriel,Funeka Muriel Mbuyazwe,http://www.pa.org.za/person/funeka-muriel-mbuyazwe/,,,,za.org.pa.www/core_person/5993,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5993
Phetlho,Funiwe Julia,Funiwe Julia Phetlho,http://www.pa.org.za/person/funiwe-julia-phetlho/,,,,za.org.pa.www/core_person/6084,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6084
Xulu,Funokwakhe Cedric,Funokwakhe Cedric Xulu,http://www.pa.org.za/person/funokwakhe-cedric-xulu/,,,,za.org.pa.www/core_person/7461,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7461
Macheka,Fusi Stephen,Fusi Stephen Macheka,http://www.pa.org.za/person/fusi-stephen-macheka/,,,,za.org.pa.www/core_person/6894,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6894
Moerane,Gaasite Patience,Gaasite Patience Moerane,http://www.pa.org.za/person/gaasite-patience-moerane/,,,,za.org.pa.www/core_person/8803,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8803
Modise,Gabanagosi,Gabanagosi Modise,http://www.pa.org.za/person/gabanagosi-modise/,,,,za.org.pa.www/core_person/8083,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8083
Tongwane,Gabasale Mary,Gabasale Mary Tongwane,http://www.pa.org.za/person/gabasale-mary-tongwane/,,,,za.org.pa.www/core_person/7176,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7176
Mabena-Sepenyane,Gabsile Veronica,Gabsile Veronica Mabena-Sepenyane,http://www.pa.org.za/person/gabsile-veronica-mabena-sepenyane/,,,,za.org.pa.www/core_person/7080,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7080
Parker,Gail Denise,Gail Denise Parker,http://www.pa.org.za/person/gail-denise-parker/,,,,za.org.pa.www/core_person/4571,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4571
Masiane,Gakenakala Justice,Gakenakala Justice Masiane,http://www.pa.org.za/person/gakenakala-justice-masiane/,,,,za.org.pa.www/core_person/8741,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8741
Maswe,Galaletsang Violet,Galaletsang Violet Maswe,http://www.pa.org.za/person/galaletsang-violet-maswe/,,,,za.org.pa.www/core_person/8897,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8897
Maleke,Galeboe Johannes,Galeboe Johannes Maleke,http://www.pa.org.za/person/galeboe-johannes-maleke/,,,,za.org.pa.www/core_person/9069,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9069
Motlhabane,Galebutswe Manas,Galebutswe Manas Motlhabane,http://www.pa.org.za/person/galebutswe-manas-motlhabane/,,,,za.org.pa.www/core_person/4971,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4971
Motsokoane,Galeitsiwe Samuel,Galeitsiwe Samuel Motsokoane,http://www.pa.org.za/person/galeitsiwe-samuel-motsokoane/,,,,za.org.pa.www/core_person/8749,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8749
Sebolai,Galeome Petrus,Galeome Petrus Sebolai,http://www.pa.org.za/person/galeome-petrus-sebolai/,,,,za.org.pa.www/core_person/8745,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8745
Kaale,Galerekwe Benjamin,Galerekwe Benjamin Kaale,http://www.pa.org.za/person/galerekwe-benjamin-kaale/,,,,za.org.pa.www/core_person/5476,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5476
Manopole,Galerekwe Mase,Galerekwe Mase Manopole,http://www.pa.org.za/person/galerekwe-mase-manopole/,,,,za.org.pa.www/core_person/4586,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4586
Masiane,Game Leah,Game Leah Masiane,http://www.pa.org.za/person/game-leah-masiane/,,,,za.org.pa.www/core_person/8706,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8706
Dhevnarain,Ganchand,Ganchand Dhevnarain,http://www.pa.org.za/person/ganchand-dhevnarain/,,,,za.org.pa.www/core_person/7600,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7600
Saffodien,Ganeef,Ganeef Saffodien,http://www.pa.org.za/person/ganeef-saffodien/,,,,za.org.pa.www/core_person/9154,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/9154
Mari,Ganesan,Ganesan Mari,http://www.pa.org.za/person/ganesan-mari/,,,,za.org.pa.www/core_person/6509,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6509
Molapisi,Gaoage Oageng,Gaoage Oageng Molapisi,http://www.pa.org.za/person/gaoage-oageng-molapisi/,,,,za.org.pa.www/core_person/4556,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4556
Gaesite,Gaolaolwe John,Gaolaolwe John Gaesite,http://www.pa.org.za/person/gaolaolwe-john-gaesite/,,,,za.org.pa.www/core_person/8746,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8746
Selau,Gaolaolwe Joseph,Gaolaolwe Joseph Selau,http://www.pa.org.za/person/gaolaolwe-joseph-selau/,"Gaolaolwe Joseph Selau's plenary attendance record for Feb-Apr [2013](/file_archive/gaolaolwe-joseph-selau-attendance-2013 ""Selau Attendance 2013"") and [2012](/file_archive/gaolaolwe-joseph-selau-attendance-2012 ""Selau Attendance 2012"").",,gselau@parliament.gov.za,za.org.pa.www/core_person/920,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/920
Oliphant,Gaolatlhe Godfrey,Gaolatlhe Godfrey Oliphant,http://www.pa.org.za/person/gaolatlhe-godfrey-oliphant/,"Deputy Minister Oliphant, could not have occupied a better portfolio than Mineral Resources. Born in Warrenton, in the Diamonds’ province of the Northern Cape, he is currently a member of Central Committee of the South African Communist Party and member of the Task Team of the African National Congress (ANC) in North West Province. He had been a Member of Parliament since 1994 and had served as Chairperson of the Portfolio Committees on Public Works and the Science and Technology, Labour, and Minerals and Energy. He matriculated at Huhudi High School in the Vryburg area and had pursued studies in Economics. He has held various senior position with the tripartite alliance structures, including serving as Vice President of the Congress of South African Trade Union (COSATU). Source: (info.gov.za) 

Gaolatlhe Godfrey Oliphant's plenary attendance record for Feb-Apr [2013](/file_archive/Gaolatlhe-Godfrey-Oliphant-Attendance-2013 ""Gaolatlhe Godfrey Oliphant Attendance"") and [2012](/file_archive/Gaolatlhe-Godfrey-Oliphant-2012 ""Gaolatlhe Godfrey Oliphant Attendance"").",,goliphant@parliament.gov.za,za.org.pa.www/core_person/881,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/881
Ramuki,Gaolatlhwe Francinah,Gaolatlhwe Francinah Ramuki,http://www.pa.org.za/person/gaolatlhwe-francinah-ramuki/,,,,za.org.pa.www/core_person/8804,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8804
Rankokwadi,Gaone Daniel,Gaone Daniel Rankokwadi,http://www.pa.org.za/person/gaone-daniel-rankokwadi/,,,,za.org.pa.www/core_person/8700,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8700
Motebe,Gaopalelwe Morwa,Gaopalelwe Morwa Motebe,http://www.pa.org.za/person/gaopalelwe-morwa-motebe/,,,,za.org.pa.www/core_person/5522,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5522
Morgan,Gareth Richard,Gareth Richard Morgan,http://www.pa.org.za/person/gareth-richard-morgan/,"Gareth Morgan's plenary attendance record for  [2012](/file_archive/Gareth-Morgan-Attendance-2012 ""Gareth Morgan""). ",,gmorgan@parliament.gov.za,za.org.pa.www/core_person/812,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/812
Du Preez,Garret,Garret Du Preez,http://www.pa.org.za/person/garret-du-preez/,,,,za.org.pa.www/core_person/8487,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8487
Towell,Garth Norman,Garth Norman Towell,http://www.pa.org.za/person/garth-norman-towell/,,,,za.org.pa.www/core_person/5228,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5228
Scallan,Gary Neil,Gary Neil Scallan,http://www.pa.org.za/person/gary-neil-scallan/,,,,za.org.pa.www/core_person/6244,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6244
Shole,Gaseelediwe Innocent,Gaseelediwe Innocent Shole,http://www.pa.org.za/person/gaseelediwe-innocent-shole/,,,,za.org.pa.www/core_person/8596,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8596
Edward,Gaserengwe Sannah,Gaserengwe Sannah Edward,http://www.pa.org.za/person/gaserengwe-sannah-edward/,,,,za.org.pa.www/core_person/5895,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/5895
Mokgoro,Gauta George,Gauta George Mokgoro,http://www.pa.org.za/person/gauta-george-mokgoro/,,,gmokgoro@parliament.gov.za,za.org.pa.www/core_person/1055,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1055
,,Gavaza Mhlongo,http://www.pa.org.za/person/gavaza-mhlongo/,,072 661 7766,,za.org.pa.www/core_person/3661,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3661
Lakay,Gavin,Gavin Lakay,http://www.pa.org.za/person/gavin-lakay/,,,,za.org.pa.www/core_person/7680,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7680
,,Gavin Lewis,http://www.pa.org.za/person/gavin-lewis/,,,glewis@gpl.gov.za,za.org.pa.www/core_person/1391,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/1391
Davis,Gavin Richard,Gavin Richard Davis,http://www.pa.org.za/person/gavin-richard-davis/,,,,za.org.pa.www/core_person/6205,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6205
Mohlala,Gavin Thato,Gavin Thato Mohlala,http://www.pa.org.za/person/gavin-thato-mohlala/,,,,za.org.pa.www/core_person/8908,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/8908
Manuel,Gawa,Gawa Manuel,http://www.pa.org.za/person/gawa-manuel/,,,,za.org.pa.www/core_person/7501,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7501
Cele,Gaynore,Gaynore Cele,http://www.pa.org.za/person/gaynore-cele/,,,,za.org.pa.www/core_person/3877,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/3877
Mofokeng,Gcina Ayliff,Gcina Ayliff Mofokeng,http://www.pa.org.za/person/gcina-ayliff-mofokeng/,,,,za.org.pa.www/core_person/6983,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/6983
Nqaqu,Gcinikhaya William,Gcinikhaya William Nqaqu,http://www.pa.org.za/person/gcinikhaya-william-nqaqu/,,,,za.org.pa.www/core_person/4624,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/4624
Mabunga,Gcinithemba Alfred,Gcinithemba Alfred Mabunga,http://www.pa.org.za/person/gcinithemba-alfred-mabunga/,,,,za.org.pa.www/core_person/7819,http://za-new-import.popit.mysociety.org/api/v0.1/persons/za.org.pa.www/core_person/7819
